iquitos_persiann, 3.875S, 73.375W, precipitation_amount,
1983,10,16,3.73, 
1983,10,17,13.74, 
1983,10,18,24.74, 
1983,10,19,50.09, 
1983,10,20,9.7, 
1983,10,21,1.21, 
1983,10,22,1.67, 
1983,10,23,7.32, 
1983,10,24,20.84, 
1983,10,25,1.81, 
1983,10,26,0, 
1983,10,27,24.15, 
1983,10,28,38.61, 
1983,10,29,4.59, 
1983,10,30,7.77, 
1983,10,31,13, 
1983,11,1,10.05, 
1983,11,2,30.76, 
1983,11,3,0.96, 
1983,11,4,0.99, 
1983,11,5,2.6, 
1983,11,6,6.05, 
1983,11,7,1.08, 
1983,11,8,4.57, 
1983,11,9,17.71, 
1983,11,10,1.43, 
1983,11,11,7.07, 
1983,11,12,3.9, 
1983,11,13,0, 
1983,11,14,1.82, 
1983,11,15,51.02, 
1983,11,16,0, 
1983,11,17,1.26, 
1983,11,18,5.5, 
1983,11,19,4.07, 
1983,11,20,2.31, 
1983,11,21,0.35, 
1983,11,22,17.04, 
1983,11,23,1.68, 
1983,11,24,8.61, 
1983,11,25,6.1, 
1983,11,26,0.34, 
1983,11,27,1.99, 
1983,11,28,2.86, 
1983,11,29,10.98, 
1983,11,30,12.18, 
1983,12,1,8.98, 
1983,12,2,4.08, 
1983,12,3,24.86, 
1983,12,4,6.9, 
1983,12,5,2.27, 
1983,12,6,18.07, 
1983,12,7,12.05, 
1983,12,8,34.18, 
1983,12,9,0.85, 
1983,12,10,27.84, 
1983,12,11,28.01, 
1983,12,12,10.04, 
1983,12,13,16.53, 
1983,12,14,2.69, 
1983,12,15,10.02, 
1983,12,16,23.92, 
1983,12,17,1.69, 
1983,12,18,22.75, 
1983,12,19,6.24, 
1983,12,20,7.68, 
1983,12,21,28.3, 
1983,12,22,1.63, 
1983,12,23,0.95, 
1983,12,24,10.43, 
1983,12,25,5, 
1983,12,26,43.45, 
1983,12,27,6.57, 
1983,12,28,14.86, 
1983,12,29,1.12, 
1983,12,30,0, 
1983,12,31,6.34, 
1984,1,1,2.98, 
1984,1,2,8.71, 
1984,1,3,30.72, 
1984,1,4,8.84, 
1984,1,5,3.95, 
1984,1,6,18.62, 
1984,1,7,3.61, 
1984,1,8,15.6, 
1984,1,9,8.73, 
1984,1,10,0.73, 
1984,1,11,0, 
1984,1,12,1.25, 
1984,1,13,0.72, 
1984,1,14,13.08, 
1984,1,15,7.98, 
1984,1,16,27.62, 
1984,1,17,0.65, 
1984,1,18,3.24, 
1984,1,19,0.49, 
1984,1,20,0, 
1984,1,21,15.48, 
1984,1,22,31.64, 
1984,1,23,0, 
1984,1,24,0, 
1984,1,25,1.1, 
1984,1,26,20.23, 
1984,1,27,12.5, 
1984,1,28,3.62, 
1984,1,29,4.49, 
1984,1,30,13.99, 
1984,1,31,16.47, 
1984,2,1,22.27, 
1984,2,2,0.71, 
1984,2,3,0, 
1984,2,4,1.03, 
1984,2,5,21.62, 
1984,2,6,38.64, 
1984,2,7,16.66, 
1984,2,8,0, 
1984,2,9,0, 
1984,2,10,6.03, 
1984,2,11,1.07, 
1984,2,12,0.72, 
1984,2,13,46.2, 
1984,2,14,11.9, 
1984,2,15,12.03, 
1984,2,16,15.06, 
1984,2,17,2.37, 
1984,2,18,2.45, 
1984,2,19,0.77, 
1984,2,20,3.35, 
1984,2,21,17.26, 
1984,2,22,17.25, 
1984,2,23,11.91, 
1984,2,24,4.2, 
1984,2,25,0, 
1984,2,26,14.81, 
1984,2,27,15.13, 
1984,2,28,26.92, 
1984,2,29,-9999, 
1984,3,1,0.4, 
1984,3,2,7.38, 
1984,3,3,0.39, 
1984,3,4,0, 
1984,3,5,0, 
1984,3,6,2.16, 
1984,3,7,0.34, 
1984,3,8,0.6, 
1984,3,9,0, 
1984,3,10,11.32, 
1984,3,11,24, 
1984,3,12,0.81, 
1984,3,13,0, 
1984,3,14,1.46, 
1984,3,15,1.26, 
1984,3,16,6.26, 
1984,3,17,2.25, 
1984,3,18,8.07, 
1984,3,19,0.79, 
1984,3,20,1.72, 
1984,3,21,0, 
1984,3,22,29.08, 
1984,3,23,4.6, 
1984,3,24,1.74, 
1984,3,25,4.61, 
1984,3,26,12.53, 
1984,3,27,15.76, 
1984,3,28,13.91, 
1984,3,29,17.89, 
1984,3,30,10.21, 
1984,3,31,0.73, 
1984,4,1,0.57, 
1984,4,2,13.86, 
1984,4,3,9.27, 
1984,4,4,22.64, 
1984,4,5,56.11, 
1984,4,6,1.93, 
1984,4,7,2.6, 
1984,4,8,3.71, 
1984,4,9,0, 
1984,4,10,35.76, 
1984,4,11,5.05, 
1984,4,12,0, 
1984,4,13,17.73, 
1984,4,14,3.23, 
1984,4,15,0.93, 
1984,4,16,0, 
1984,4,17,20.65, 
1984,4,18,3.29, 
1984,4,19,20.74, 
1984,4,20,10.28, 
1984,4,21,0, 
1984,4,22,13.03, 
1984,4,23,1.93, 
1984,4,24,6.07, 
1984,4,25,32.12, 
1984,4,26,1.57, 
1984,4,27,2.39, 
1984,4,28,0.45, 
1984,4,29,3.92, 
1984,4,30,16.87, 
1984,5,1,5.08, 
1984,5,2,3.86, 
1984,5,3,1.62, 
1984,5,4,18.51, 
1984,5,5,17.58, 
1984,5,6,23.38, 
1984,5,7,2.87, 
1984,5,8,1.25, 
1984,5,9,1.6, 
1984,5,10,24.86, 
1984,5,11,1.38, 
1984,5,12,0, 
1984,5,13,0, 
1984,5,14,30.14, 
1984,5,15,-9999, 
1984,5,16,1.23, 
1984,5,17,0, 
1984,5,18,0, 
1984,5,19,14.13, 
1984,5,20,6.81, 
1984,5,21,1.6, 
1984,5,22,1.93, 
1984,5,23,0, 
1984,5,24,1.97, 
1984,5,25,0, 
1984,5,26,0, 
1984,5,27,8.35, 
1984,5,28,8.09, 
1984,5,29,22.79, 
1984,5,30,2.35, 
1984,5,31,18.34, 
1984,6,1,0, 
1984,6,2,0, 
1984,6,3,0, 
1984,6,4,0, 
1984,6,5,13.16, 
1984,6,6,2.84, 
1984,6,7,22.52, 
1984,6,8,3.67, 
1984,6,9,0, 
1984,6,10,0, 
1984,6,11,1.53, 
1984,6,12,2.11, 
1984,6,13,4.08, 
1984,6,14,3.55, 
1984,6,15,19.77, 
1984,6,16,8.44, 
1984,6,17,21.44, 
1984,6,18,7.27, 
1984,6,19,5.37, 
1984,6,20,2.24, 
1984,6,21,2.61, 
1984,6,22,0, 
1984,6,23,35.34, 
1984,6,24,17.23, 
1984,6,25,0, 
1984,6,26,0, 
1984,6,27,17.04, 
1984,6,28,10.83, 
1984,6,29,44.51, 
1984,6,30,0, 
1984,7,1,0, 
1984,7,2,0, 
1984,7,3,1.87, 
1984,7,4,4.17, 
1984,7,5,52.2, 
1984,7,6,8.61, 
1984,7,7,16.83, 
1984,7,8,53.27, 
1984,7,9,0.9, 
1984,7,10,0, 
1984,7,11,0.82, 
1984,7,12,0, 
1984,7,13,6.42, 
1984,7,14,16, 
1984,7,15,0.71, 
1984,7,16,2.37, 
1984,7,17,11.26, 
1984,7,18,16.18, 
1984,7,19,3.83, 
1984,7,20,0.76, 
1984,7,21,1.25, 
1984,7,22,2.28, 
1984,7,23,7.55, 
1984,7,24,0, 
1984,7,25,0, 
1984,7,26,0, 
1984,7,27,0, 
1984,7,28,1.72, 
1984,7,29,2.44, 
1984,7,30,0, 
1984,7,31,0, 
1984,8,1,0, 
1984,8,2,0, 
1984,8,3,2.41, 
1984,8,4,3.47, 
1984,8,5,3.36, 
1984,8,6,0, 
1984,8,7,0.68, 
1984,8,8,3.83, 
1984,8,9,9.04, 
1984,8,10,10.5, 
1984,8,11,6.44, 
1984,8,12,2.28, 
1984,8,13,1.83, 
1984,8,14,0, 
1984,8,15,8.61, 
1984,8,16,4.85, 
1984,8,17,11.4, 
1984,8,18,4.65, 
1984,8,19,12.95, 
1984,8,20,1.95, 
1984,8,21,1.17, 
1984,8,22,14.38, 
1984,8,23,16.53, 
1984,8,24,22.37, 
1984,8,25,3.9, 
1984,8,26,25.65, 
1984,8,27,0.51, 
1984,8,28,0, 
1984,8,29,0, 
1984,8,30,0, 
1984,8,31,0, 
1984,9,1,0, 
1984,9,2,1.84, 
1984,9,3,11.57, 
1984,9,4,11.59, 
1984,9,5,0.96, 
1984,9,6,1.31, 
1984,9,7,8.29, 
1984,9,8,7.61, 
1984,9,9,31.63, 
1984,9,10,5.47, 
1984,9,11,5.68, 
1984,9,12,10.95, 
1984,9,13,15.3, 
1984,9,14,0.39, 
1984,9,15,0, 
1984,9,16,12.51, 
1984,9,17,14.98, 
1984,9,18,5.26, 
1984,9,19,5.02, 
1984,9,20,4.39, 
1984,9,21,18.19, 
1984,9,22,0.69, 
1984,9,23,3.99, 
1984,9,24,0, 
1984,9,25,0.48, 
1984,9,26,9, 
1984,9,27,1.6, 
1984,9,28,26.44, 
1984,9,29,0.9, 
1984,9,30,0, 
1984,10,1,2.77, 
1984,10,2,0.84, 
1984,10,3,20.53, 
1984,10,4,11.01, 
1984,10,5,4.75, 
1984,10,6,1.45, 
1984,10,7,8.36, 
1984,10,8,0, 
1984,10,9,2.77, 
1984,10,10,17.3, 
1984,10,11,1.99, 
1984,10,12,8.42, 
1984,10,13,1.16, 
1984,10,14,0.82, 
1984,10,15,4.58, 
1984,10,16,24.49, 
1984,10,17,11.78, 
1984,10,18,1.14, 
1984,10,19,3.97, 
1984,10,20,4.11, 
1984,10,21,4.08, 
1984,10,22,12.06, 
1984,10,23,12.69, 
1984,10,24,5.55, 
1984,10,25,13.49, 
1984,10,26,12.14, 
1984,10,27,1.17, 
1984,10,28,28.89, 
1984,10,29,12.11, 
1984,10,30,2.49, 
1984,10,31,11.64, 
1984,11,1,6.91, 
1984,11,2,1.95, 
1984,11,3,1.04, 
1984,11,4,0.75, 
1984,11,5,11.69, 
1984,11,6,12.63, 
1984,11,7,4.44, 
1984,11,8,2.91, 
1984,11,9,14.57, 
1984,11,10,3.57, 
1984,11,11,16.29, 
1984,11,12,10.11, 
1984,11,13,1.41, 
1984,11,14,22.93, 
1984,11,15,3.36, 
1984,11,16,1.45, 
1984,11,17,8.88, 
1984,11,18,6.9, 
1984,11,19,2.52, 
1984,11,20,10.55, 
1984,11,21,1.05, 
1984,11,22,0.74, 
1984,11,23,16.57, 
1984,11,24,12.82, 
1984,11,25,8.61, 
1984,11,26,6.35, 
1984,11,27,1.51, 
1984,11,28,4.1, 
1984,11,29,5.06, 
1984,11,30,20.48, 
1984,12,1,3.48, 
1984,12,2,9.74, 
1984,12,3,12.2, 
1984,12,4,30.41, 
1984,12,5,16.38, 
1984,12,6,21.36, 
1984,12,7,2.27, 
1984,12,8,5.18, 
1984,12,9,29.61, 
1984,12,10,13.91, 
1984,12,11,27.45, 
1984,12,12,15.54, 
1984,12,13,3.84, 
1984,12,14,16.18, 
1984,12,15,3.06, 
1984,12,16,1.31, 
1984,12,17,16.38, 
1984,12,18,8.68, 
1984,12,19,9.85, 
1984,12,20,0, 
1984,12,21,12.9, 
1984,12,22,6.77, 
1984,12,23,0, 
1984,12,24,2.22, 
1984,12,25,2.66, 
1984,12,26,1, 
1984,12,27,17.54, 
1984,12,28,1.67, 
1984,12,29,0, 
1984,12,30,2.18, 
1984,12,31,0, 
1985,1,1,1.73, 
1985,1,2,0.22, 
1985,1,3,0.18, 
1985,1,4,0, 
1985,1,5,0.24, 
1985,1,6,0, 
1985,1,7,1.5, 
1985,1,8,1, 
1985,1,9,0, 
1985,1,10,2.47, 
1985,1,11,0.23, 
1985,1,12,0, 
1985,1,13,1.36, 
1985,1,14,13.55, 
1985,1,15,4.45, 
1985,1,16,0.24, 
1985,1,17,0, 
1985,1,18,0.88, 
1985,1,19,1.58, 
1985,1,20,0, 
1985,1,21,0.72, 
1985,1,22,1.94, 
1985,1,23,3.09, 
1985,1,24,7.46, 
1985,1,25,0, 
1985,1,26,0, 
1985,1,27,0.43, 
1985,1,28,1.94, 
1985,1,29,1.53, 
1985,1,30,1.61, 
1985,1,31,0.2, 
1985,2,1,6.78, 
1985,2,2,3.74, 
1985,2,3,3.34, 
1985,2,4,1.26, 
1985,2,5,0.41, 
1985,2,6,0, 
1985,2,7,0, 
1985,2,8,1.1, 
1985,2,9,0, 
1985,2,10,13.43, 
1985,2,11,0, 
1985,2,12,15.56, 
1985,2,13,2.19, 
1985,2,14,4.6, 
1985,2,15,5.66, 
1985,2,16,13.32, 
1985,2,17,18.41, 
1985,2,18,16.41, 
1985,2,19,0.91, 
1985,2,20,10.9, 
1985,2,21,17.14, 
1985,2,22,13.97, 
1985,2,23,0.47, 
1985,2,24,0.48, 
1985,2,25,0, 
1985,2,26,0, 
1985,2,27,1.6, 
1985,2,28,13.89, 
1985,3,1,1.73, 
1985,3,2,10.61, 
1985,3,3,12.2, 
1985,3,4,0.68, 
1985,3,5,0.38, 
1985,3,6,10.04, 
1985,3,7,0, 
1985,3,8,11.99, 
1985,3,9,2.95, 
1985,3,10,1.64, 
1985,3,11,0.73, 
1985,3,12,2.65, 
1985,3,13,13.93, 
1985,3,14,12.25, 
1985,3,15,3.1, 
1985,3,16,21.38, 
1985,3,17,3.27, 
1985,3,18,4.34, 
1985,3,19,6.78, 
1985,3,20,13.08, 
1985,3,21,7.77, 
1985,3,22,0.78, 
1985,3,23,9.04, 
1985,3,24,0, 
1985,3,25,10.41, 
1985,3,26,9.44, 
1985,3,27,5.78, 
1985,3,28,8.8, 
1985,3,29,5.82, 
1985,3,30,16.96, 
1985,3,31,13.68, 
1985,4,1,12.34, 
1985,4,2,5.02, 
1985,4,3,0.31, 
1985,4,4,30.49, 
1985,4,5,19.02, 
1985,4,6,0.7, 
1985,4,7,0.35, 
1985,4,8,50.19, 
1985,4,9,29.61, 
1985,4,10,0, 
1985,4,11,6.98, 
1985,4,12,4.86, 
1985,4,13,15.62, 
1985,4,14,0, 
1985,4,15,0, 
1985,4,16,5.79, 
1985,4,17,3.01, 
1985,4,18,4.34, 
1985,4,19,26.23, 
1985,4,20,10.16, 
1985,4,21,2.55, 
1985,4,22,0.98, 
1985,4,23,7.22, 
1985,4,24,12.01, 
1985,4,25,17.03, 
1985,4,26,12.26, 
1985,4,27,2.54, 
1985,4,28,4.87, 
1985,4,29,4.98, 
1985,4,30,3.54, 
1985,5,1,9.35, 
1985,5,2,2.37, 
1985,5,3,0, 
1985,5,4,0, 
1985,5,5,0, 
1985,5,6,0, 
1985,5,7,4.74, 
1985,5,8,31.96, 
1985,5,9,1.85, 
1985,5,10,10.39, 
1985,5,11,0.54, 
1985,5,12,1.67, 
1985,5,13,0, 
1985,5,14,23.47, 
1985,5,15,9.79, 
1985,5,16,2.04, 
1985,5,17,2.38, 
1985,5,18,22.19, 
1985,5,19,11.99, 
1985,5,20,0.66, 
1985,5,21,0, 
1985,5,22,21.23, 
1985,5,23,13.73, 
1985,5,24,13.3, 
1985,5,25,6.74, 
1985,5,26,1.98, 
1985,5,27,0.6, 
1985,5,28,1.63, 
1985,5,29,0, 
1985,5,30,1.14, 
1985,5,31,1.98, 
1985,6,1,20.05, 
1985,6,2,4.33, 
1985,6,3,50.28, 
1985,6,4,0, 
1985,6,5,1.26, 
1985,6,6,0, 
1985,6,7,0, 
1985,6,8,0, 
1985,6,9,0, 
1985,6,10,0, 
1985,6,11,0, 
1985,6,12,0, 
1985,6,13,0, 
1985,6,14,0, 
1985,6,15,3.99, 
1985,6,16,1.28, 
1985,6,17,13.25, 
1985,6,18,14.34, 
1985,6,19,18.8, 
1985,6,20,10.02, 
1985,6,21,3.57, 
1985,6,22,0, 
1985,6,23,1.93, 
1985,6,24,10.64, 
1985,6,25,0, 
1985,6,26,3.07, 
1985,6,27,3.54, 
1985,6,28,3.62, 
1985,6,29,0, 
1985,6,30,3.08, 
1985,7,1,1.37, 
1985,7,2,32.71, 
1985,7,3,37.49, 
1985,7,4,10.26, 
1985,7,5,0, 
1985,7,6,22.13, 
1985,7,7,0, 
1985,7,8,0, 
1985,7,9,0, 
1985,7,10,7.72, 
1985,7,11,1.28, 
1985,7,12,3.42, 
1985,7,13,0, 
1985,7,14,0, 
1985,7,15,1.07, 
1985,7,16,1.1, 
1985,7,17,0.72, 
1985,7,18,0, 
1985,7,19,0, 
1985,7,20,19.48, 
1985,7,21,0, 
1985,7,22,0, 
1985,7,23,0, 
1985,7,24,1.72, 
1985,7,25,11.41, 
1985,7,26,3.24, 
1985,7,27,3.92, 
1985,7,28,7, 
1985,7,29,7.5, 
1985,7,30,14.44, 
1985,7,31,1.82, 
1985,8,1,20.27, 
1985,8,2,10.45, 
1985,8,3,0.51, 
1985,8,4,0, 
1985,8,5,0, 
1985,8,6,0, 
1985,8,7,0.75, 
1985,8,8,9.24, 
1985,8,9,39.19, 
1985,8,10,0.53, 
1985,8,11,0, 
1985,8,12,0, 
1985,8,13,0, 
1985,8,14,0, 
1985,8,15,0.67, 
1985,8,16,2.79, 
1985,8,17,26.37, 
1985,8,18,1.06, 
1985,8,19,16.51, 
1985,8,20,2.5, 
1985,8,21,3.4, 
1985,8,22,0, 
1985,8,23,8.45, 
1985,8,24,1.62, 
1985,8,25,0, 
1985,8,26,0, 
1985,8,27,3.92, 
1985,8,28,4.07, 
1985,8,29,0.74, 
1985,8,30,0, 
1985,8,31,1.3, 
1985,9,1,0, 
1985,9,2,7, 
1985,9,3,25.62, 
1985,9,4,0.7, 
1985,9,5,5.47, 
1985,9,6,1.72, 
1985,9,7,0, 
1985,9,8,0, 
1985,9,9,7.46, 
1985,9,10,4.44, 
1985,9,11,2.61, 
1985,9,12,10.94, 
1985,9,13,4.78, 
1985,9,14,11.67, 
1985,9,15,6.89, 
1985,9,16,1.77, 
1985,9,17,10.94, 
1985,9,18,10.53, 
1985,9,19,3.81, 
1985,9,20,0.92, 
1985,9,21,7.53, 
1985,9,22,0.32, 
1985,9,23,0, 
1985,9,24,2.66, 
1985,9,25,10.7, 
1985,9,26,17.99, 
1985,9,27,0.4, 
1985,9,28,0.97, 
1985,9,29,20.24, 
1985,9,30,4.24, 
1985,10,1,0.34, 
1985,10,2,6.32, 
1985,10,3,6.61, 
1985,10,4,1.82, 
1985,10,5,0.5, 
1985,10,6,0.26, 
1985,10,7,1.1, 
1985,10,8,11.88, 
1985,10,9,11.34, 
1985,10,10,9.4, 
1985,10,11,5.76, 
1985,10,12,0.81, 
1985,10,13,1.32, 
1985,10,14,0.62, 
1985,10,15,4.49, 
1985,10,16,6.21, 
1985,10,17,4.94, 
1985,10,18,5.38, 
1985,10,19,14.09, 
1985,10,20,4.15, 
1985,10,21,11.39, 
1985,10,22,6.39, 
1985,10,23,1.87, 
1985,10,24,31.34, 
1985,10,25,1.03, 
1985,10,26,0, 
1985,10,27,19.83, 
1985,10,28,19.69, 
1985,10,29,1.02, 
1985,10,30,0, 
1985,10,31,0, 
1985,11,1,1.19, 
1985,11,2,6.99, 
1985,11,3,9.13, 
1985,11,4,1.5, 
1985,11,5,7.68, 
1985,11,6,14.2, 
1985,11,7,0, 
1985,11,8,6.2, 
1985,11,9,3.57, 
1985,11,10,5.69, 
1985,11,11,4.87, 
1985,11,12,13.51, 
1985,11,13,18.92, 
1985,11,14,5.87, 
1985,11,15,16.43, 
1985,11,16,4.01, 
1985,11,17,2.77, 
1985,11,18,1.11, 
1985,11,19,12.32, 
1985,11,20,2.19, 
1985,11,21,4.4, 
1985,11,22,14.12, 
1985,11,23,14.75, 
1985,11,24,0, 
1985,11,25,0, 
1985,11,26,0, 
1985,11,27,4.59, 
1985,11,28,8.33, 
1985,11,29,11.71, 
1985,11,30,1.46, 
1985,12,1,0, 
1985,12,2,0.48, 
1985,12,3,15.35, 
1985,12,4,11.05, 
1985,12,5,6.32, 
1985,12,6,8.62, 
1985,12,7,18.32, 
1985,12,8,30.91, 
1985,12,9,8.17, 
1985,12,10,14.79, 
1985,12,11,7.81, 
1985,12,12,18.32, 
1985,12,13,6.37, 
1985,12,14,1.03, 
1985,12,15,3.14, 
1985,12,16,0, 
1985,12,17,0, 
1985,12,18,0.3, 
1985,12,19,0, 
1985,12,20,0.6, 
1985,12,21,0, 
1985,12,22,3.03, 
1985,12,23,1.57, 
1985,12,24,0, 
1985,12,25,1.13, 
1985,12,26,0, 
1985,12,27,0, 
1985,12,28,1.4, 
1985,12,29,1.2, 
1985,12,30,1.2, 
1985,12,31,4.87, 
1986,1,1,20.11, 
1986,1,2,16.97, 
1986,1,3,0, 
1986,1,4,1.32, 
1986,1,5,3.34, 
1986,1,6,21.35, 
1986,1,7,14.79, 
1986,1,8,0.71, 
1986,1,9,9.8, 
1986,1,10,1.57, 
1986,1,11,16.52, 
1986,1,12,0, 
